,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
62,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-7,0,1,22,74.59,75.12,91.3,68.77,79.79,42.76,88.6,68.06,73.62375,78.03285714285714
63,answerdotai/ModernBERT-base,_cls-8,0,1,22,65.99,64.13,87.03,75.98,74.35,38.1,70.6,62.14,67.29,71.46000000000001
64,answerdotai/ModernBERT-base,_mean-8,0,1,22,73.66,72.29,89.72,83.56,81.27,43.17,85.8,63.59,74.13250000000001,78.55571428571429
65,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-8,0,1,22,74.99,74.99,90.37,85.26,77.98,43.98,88.4,63.88,74.98125,79.41
66,answerdotai/ModernBERT-base,_concat_cls_with_mean-8,0,1,22,74.54,75.84,90.35,83.97,81.71,42.81,80.8,65.97,74.49875,79.02571428571427
67,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-8,0,1,22,74.67,76.03,90.48,84.94,81.38,43.48,87.8,61.33,75.01375,79.51857142857143
68,answerdotai/ModernBERT-base,_concat_mean_3_tokens-8,0,1,22,75.41,78.14,91.41,84.34,79.85,43.35,88.0,67.25,75.96875,80.62857142857142
69,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-8,0,1,22,75.26,77.85,91.13,84.77,79.19,42.71,87.8,66.26,75.62124999999999,80.32285714285715
70,answerdotai/ModernBERT-base,_concat_mean_5_tokens-8,0,1,22,75.09,77.59,91.63,84.02,80.23,42.76,86.8,65.45,75.44625,80.11571428571429
71,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-8,0,1,22,75.11,76.48,91.39,68.77,79.19,41.31,89.0,68.23,73.685,78.30999999999999
72,answerdotai/ModernBERT-base,_cls-9,0,1,22,65.05,65.17,87.43,75.92,76.28,37.78,73.0,66.26,68.36125,72.73
73,answerdotai/ModernBERT-base,_mean-9,0,1,22,74.6,72.98,90.05,84.18,81.82,44.3,88.4,65.1,75.17875000000001,79.59
74,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-9,0,1,22,75.49,77.11,89.85,85.42,82.26,42.9,90.4,64.87,76.0375,80.77142857142857
75,answerdotai/ModernBERT-base,_concat_cls_with_mean-9,0,1,22,75.0,77.96,90.74,84.29,81.6,42.35,87.2,66.84,75.74750000000002,80.51857142857143
76,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-9,0,1,22,75.08,78.01,91.13,85.16,82.1,44.57,90.2,66.9,76.64375,81.22571428571429
77,answerdotai/ModernBERT-base,_concat_mean_3_tokens-9,0,1,22,75.85,78.6,90.89,85.13,80.56,42.99,89.4,65.39,76.10125,80.83142857142856
78,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-9,0,1,22,75.01,79.87,90.78,85.01,80.07,44.89,89.6,66.49,76.465,80.97571428571429
79,answerdotai/ModernBERT-base,_concat_mean_5_tokens-9,0,1,22,75.39,78.99,90.97,85.03,79.96,43.08,86.8,67.59,75.97625,80.67571428571429
80,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-9,0,1,22,75.49,77.22,91.24,68.77,79.96,42.99,87.2,66.14,73.62625,78.00285714285714
81,answerdotai/ModernBERT-base,_cls-10,0,1,22,69.11,65.38,87.43,75.92,76.72,39.37,74.2,57.74,68.23375,72.35714285714286
