Unnamed: 0,Modelo,nhid,Pooling,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,Avg_without_SST5
141.0,bert-large-uncased,0,_concat_mean_3_tokens_exclude_cls_and_sep-16,1,24,80.15,84.64,95.14,88.13,83.75,93.8,68.0,84.80142857142857
142.0,bert-large-uncased,0,_concat_mean_5_tokens-16,1,24,81.15,84.11,95.17,87.42,84.02,93.8,68.41,84.86857142857141
143.0,bert-large-uncased,0,_concat_mean_5_tokens_exclude_cls_and_sep-16,1,24,80.75,85.53,95.04,68.77,50.08,94.4,67.88,77.49285714285713
144.0,bert-large-uncased,0,_cls-17,1,24,83.49,86.25,94.46,86.13,87.48,89.0,71.77,85.51142857142857
145.0,bert-large-uncased,0,_mean-17,1,24,83.13,87.02,94.84,87.19,88.03,91.4,74.09,86.52857142857144
146.0,bert-large-uncased,0,_mean_exclude_cls_sep-17,1,24,82.34,86.83,94.82,87.88,87.75,92.6,74.03,86.60714285714286
147.0,bert-large-uncased,0,_concat_cls_with_mean-17,1,24,83.94,87.95,95.0,87.24,89.73,92.8,71.59,86.89285714285714
148.0,bert-large-uncased,0,_concat_cls_with_mean_exclude_cls_sep-17,1,24,84.05,88.24,95.41,88.22,89.62,93.4,74.96,87.7
149.0,bert-large-uncased,0,_concat_mean_3_tokens-17,1,24,83.49,87.92,95.38,88.32,85.94,95.2,68.64,86.41285714285713
150.0,bert-large-uncased,0,_concat_mean_3_tokens_exclude_cls_and_sep-17,1,24,83.27,87.26,95.25,88.27,85.94,92.0,67.25,85.60571428571428
151.0,bert-large-uncased,0,_concat_mean_5_tokens-17,1,24,83.45,87.84,95.55,87.58,85.83,94.2,69.1,86.22142857142858
152.0,bert-large-uncased,0,_concat_mean_5_tokens_exclude_cls_and_sep-17,1,24,83.14,87.2,95.41,68.77,50.08,95.0,65.22,77.83142857142856
153.0,bert-large-uncased,0,_cls-18,1,24,84.24,85.62,94.87,86.56,88.58,90.6,72.06,86.07571428571428
154.0,bert-large-uncased,0,_mean-18,1,24,83.42,87.74,95.28,87.03,89.07,90.2,74.78,86.78857142857143
155.0,bert-large-uncased,0,_mean_exclude_cls_sep-18,1,24,83.34,86.89,95.24,87.71,89.13,92.2,75.48,87.14142857142858
