Unnamed: 0;Modelo;nhid;Pooling;epochs;qtd_layers;MR;CR;SUBJ;MPQA;SST2;TREC;MRPC;Avg_without_SST5
128,00;bert-large-uncased;0,00;_mean_exclude_cls_sep-15;1,00;24,00;79,32;80,19;94,40;87,99;84,29;93,20;74,32;84,82
129,00;bert-large-uncased;0,00;_concat_cls_with_mean-15;1,00;24,00;79,90;81,88;94,99;87,42;84,84;92,80;75,42;85,32
130,00;bert-large-uncased;0,00;_concat_cls_with_mean_exclude_cls_sep-15;1,00;24,00;79,84;82,70;95,20;88,28;85,06;93,00;73,91;85,43
131,00;bert-large-uncased;0,00;_concat_mean_3_tokens-15;1,00;24,00;79,57;83,08;95,06;87,36;82,10;94,80;68,41;84,34
132,00;bert-large-uncased;0,00;_concat_mean_3_tokens_exclude_cls_and_sep-15;1,00;24,00;79,29;82,52;94,95;87,70;82,43;93,40;70,14;84,35
133,00;bert-large-uncased;0,00;_concat_mean_5_tokens-15;1,00;24,00;78,98;82,02;94,79;87,53;81,88;95,00;65,57;83,68
134,00;bert-large-uncased;0,00;_concat_mean_5_tokens_exclude_cls_and_sep-15;1,00;24,00;79,39;83,34;94,70;68,77;50,08;94,60;64,99;76,55
135,00;bert-large-uncased;0,00;_cls-16;1,00;24,00;79,99;81,14;94,33;85,48;85,17;89,00;71,59;83,81
136,00;bert-large-uncased;0,00;_mean-16;1,00;24,00;80,88;84,64;94,73;87,42;86,44;91,00;73,91;85,57
137,00;bert-large-uncased;0,00;_mean_exclude_cls_sep-16;1,00;24,00;81,01;84,34;94,73;88,37;86,44;92,00;73,16;85,72
138,00;bert-large-uncased;0,00;_concat_cls_with_mean-16;1,00;24,00;82,47;84,85;95,18;87,61;87,53;93,40;74,49;86,50
139,00;bert-large-uncased;0,00;_concat_cls_with_mean_exclude_cls_sep-16;1,00;24,00;82,25;84,56;95,30;88,23;87,37;94,00;74,32;86,58
140,00;bert-large-uncased;0,00;_concat_mean_3_tokens-16;1,00;24,00;80,12;85,48;95,16;88,20;84,35;94,00;68,06;85,05
141,00;bert-large-uncased;0,00;_concat_mean_3_tokens_exclude_cls_and_sep-16;1,00;24,00;80,15;84,64;95,14;88,13;83,75;93,80;68,00;84,80
142,00;bert-large-uncased;0,00;_concat_mean_5_tokens-16;1,00;24,00;81,15;84,11;95,17;87,42;84,02;93,80;68,41;84,87
143,00;bert-large-uncased;0,00;_concat_mean_5_tokens_exclude_cls_and_sep-16;1,00;24,00;80,75;85,53;95,04;68,77;50,08;94,40;67,88;77,49
144,00;bert-large-uncased;0,00;_cls-17;1,00;24,00;83,49;86,25;94,46;86,13;87,48;89,00;71,77;85,51
145,00;bert-large-uncased;0,00;_mean-17;1,00;24,00;83,13;87,02;94,84;87,19;88,03;91,40;74,09;86,53
146,00;bert-large-uncased;0,00;_mean_exclude_cls_sep-17;1,00;24,00;82,34;86,83;94,82;87,88;87,75;92,60;74,03;86,61
147,00;bert-large-uncased;0,00;_concat_cls_with_mean-17;1,00;24,00;83,94;87,95;95,00;87,24;89,73;92,80;71,59;86,89
148,00;bert-large-uncased;0,00;_concat_cls_with_mean_exclude_cls_sep-17;1,00;24,00;84,05;88,24;95,41;88,22;89,62;93,40;74,96;87,70
149,00;bert-large-uncased;0,00;_concat_mean_3_tokens-17;1,00;24,00;83,49;87,92;95,38;88,32;85,94;95,20;68,64;86,41
150,00;bert-large-uncased;0,00;_concat_mean_3_tokens_exclude_cls_and_sep-17;1,00;24,00;83,27;87,26;95,25;88,27;85,94;92,00;67,25;85,61
151,00;bert-large-uncased;0,00;_concat_mean_5_tokens-17;1,00;24,00;83,45;87,84;95,55;87,58;85,83;94,20;69,10;86,22
152,00;bert-large-uncased;0,00;_concat_mean_5_tokens_exclude_cls_and_sep-17;1,00;24,00;83,14;87,20;95,41;68,77;50,08;95,00;65,22;77,83
153,00;bert-large-uncased;0,00;_cls-18;1,00;24,00;84,24;85,62;94,87;86,56;88,58;90,60;72,06;86,08
154,00;bert-large-uncased;0,00;_mean-18;1,00;24,00;83,42;87,74;95,28;87,03;89,07;90,20;74,78;86,79
155,00;bert-large-uncased;0,00;_mean_exclude_cls_sep-18;1,00;24,00;83,34;86,89;95,24;87,71;89,13;92,20;75,48;87,14
156,00;bert-large-uncased;0,00;_concat_cls_with_mean-18;1,00;24,00;84,86;88,11;95,44;87,94;90,61;94,20;75,13;88,04
157,00;bert-large-uncased;0,00;_concat_cls_with_mean_exclude_cls_sep-18;1,00;24,00;84,89;87,97;95,48;88,38;90,28;93,60;75,36;87,99
158,00;bert-large-uncased;0,00;_concat_mean_3_tokens-18;1,00;24,00;84,18;88,32;95,82;88,25;87,81;94,00;67,25;86,52
159,00;bert-large-uncased;0,00;_concat_mean_3_tokens_exclude_cls_and_sep-18;1,00;24,00;83,87;87,92;95,72;88,47;87,37;93,80;67,01;86,31
160,00;bert-large-uncased;0,00;_concat_mean_5_tokens-18;1,00;24,00;83,81;87,66;95,68;87,45;87,15;94,80;68,17;86,39
161,00;bert-large-uncased;0,00;_concat_mean_5_tokens_exclude_cls_and_sep-18;1,00;24,00;83,73;88,00;95,45;68,77;50,08;94,40;64,81;77,89
162,00;bert-large-uncased;0,00;_cls-19;1,00;24,00;84,37;87,15;94,57;85,54;88,19;88,60;70,32;85,53
163,00;bert-large-uncased;0,00;_mean-19;1,00;24,00;83,43;87,50;95,32;87,36;89,79;91,00;75,19;87,08
164,00;bert-large-uncased;0,00;_mean_exclude_cls_sep-19;1,00;24,00;83,46;88,42;94,89;87,85;89,46;89,60;75,54;87,03
165,00;bert-large-uncased;0,00;_concat_cls_with_mean-19;1,00;24,00;85,29;87,23;95,25;87,36;90,94;91,60;75,36;87,58
166,00;bert-large-uncased;0,00;_concat_cls_with_mean_exclude_cls_sep-19;1,00;24,00;85,42;86,20;95,35;88,30;90,94;93,40;75,25;87,84
167,00;bert-large-uncased;0,00;_concat_mean_3_tokens-19;1,00;24,00;84,16;88,69;95,57;87,91;88,25;94,20;69,74;86,93
