Modelo;Pooling;out_emb_size;epochs;qtd_layers;nhid;MR;CR;SUBJ;MPQA;SST2;TREC;MRPC;Avg_without_SST5
bert-base;CLS+SUM_SUMALL;torch.Size([1536]);1,00;12,00;0,00;74,10;81,67;92,73;85,66;85,78;87,60;64,17;81,67
bert-base;CLS+MAX_SUMALL;torch.Size([1536]);1,00;12,00;0,00;76,34;74,09;93,03;86,76;86,00;90,00;66,61;81,83
bert-base;CLS+AVG-NS_SUMALL;torch.Size([1536]);1,00;12,00;0,00;80,50;83,63;94,94;88,58;87,20;92,60;68,64;85,16
bert-base;CLS+SUM-NS_SUMALL;torch.Size([1536]);1,00;12,00;0,00;73,70;81,40;92,45;85,81;84,73;87,60;67,13;81,83
bert-base;CLS+MAX-NS_SUMALL;torch.Size([1536]);1,00;12,00;0,00;76,99;73,96;92,83;86,86;86,05;90,80;66,20;81,96
bert-base;DY3_SUMALL;torch.Size([2304]);1,00;12,00;0,00;79,83;82,49;94,40;88,49;81,88;90,40;65,91;83,34
bert-base;DY3-NS_SUMALL;torch.Size([2304]);1,00;12,00;0,00;79,08;82,78;94,22;87,68;82,04;90,40;61,22;82,49
bert-base;DY5_SUMALL;torch.Size([3840]);1,00;12,00;0,00;79,28;82,51;94,43;87,27;82,98;91,60;67,83;83,70
bert-base;DY5-NS_SUMALL;torch.Size([3840]);1,00;12,00;0,00;78,05;82,81;94,21;68,77;50,08;91,20;63,77;75,56
bert-base;CLS_AVGALL;torch.Size([768]);1,00;12,00;0,00;80,01;73,09;93,92;87,37;85,72;75,00;67,83;80,42
bert-base;AVG_AVGALL;torch.Size([768]);1,00;12,00;0,00;79,68;83,31;94,04;89,07;83,86;89,00;69,39;84,05
bert-base;SUM_AVGALL;torch.Size([768]);1,00;12,00;0,00;79,07;82,12;93,80;88,32;85,67;89,40;66,14;83,50
bert-base;MAX_AVGALL;torch.Size([768]);1,00;12,00;0,00;75,79;71,90;92,10;87,88;80,40;81,80;69,57;79,92
bert-base;AVG-NS_AVGALL;torch.Size([768]);1,00;12,00;0,00;79,65;83,02;93,94;89,27;83,80;89,40;69,28;84,05
bert-base;SUM-NS_AVGALL;torch.Size([768]);1,00;12,00;0,00;78,78;81,06;93,14;88,41;85,28;89,80;66,26;83,25
bert-base;MAX-NS_AVGALL;torch.Size([768]);1,00;12,00;0,00;75,19;72,66;92,05;88,29;81,33;84,20;70,03;80,54
bert-base;CLS+AVG_AVGALL;torch.Size([1536]);1,00;12,00;0,00;80,59;82,49;94,59;89,40;86,27;89,80;74,09;85,32
bert-base;CLS+SUM_AVGALL;torch.Size([1536]);1,00;12,00;0,00;78,27;82,52;93,54;88,92;85,56;92,20;65,45;83,78
bert-base;CLS+MAX_AVGALL;torch.Size([1536]);1,00;12,00;0,00;80,22;81,06;93,65;88,73;86,11;87,80;72,81;84,34
bert-base;CLS+AVG-NS_AVGALL;torch.Size([1536]);1,00;12,00;0,00;80,54;82,60;94,80;89,70;86,22;89,60;74,61;85,44
bert-base;CLS+SUM-NS_AVGALL;torch.Size([1536]);1,00;12,00;0,00;78,64;82,01;93,54;89,01;85,39;92,20;65,91;83,81
bert-base;CLS+MAX-NS_AVGALL;torch.Size([1536]);1,00;12,00;0,00;80,33;80,98;93,80;88,87;86,33;88,00;72,00;84,33
bert-base;DY3_AVGALL;torch.Size([2304]);1,00;12,00;0,00;79,91;83,55;94,65;89,68;82,26;89,80;68,41;84,04
bert-base;DY3-NS_AVGALL;torch.Size([2304]);1,00;12,00;0,00;79,67;83,97;94,48;89,13;82,21;91,40;67,77;84,09
bert-base;DY5_AVGALL;torch.Size([3840]);1,00;12,00;0,00;80,21;84,56;94,91;88,95;82,54;91,40;68,29;84,41
bert-base;DY5-NS_AVGALL;torch.Size([3840]);1,00;12,00;0,00;80,20;84,24;94,88;68,77;50,08;94,00;68,00;77,17
roberta-base;CLS_LYR-7;torch.Size([768]);1,00;12,00;0,00;75,45;63,76;86,11;68,77;85,72;52,00;66,49;71,19
roberta-base;AVG_LYR-7;torch.Size([768]);1,00;12,00;0,00;84,22;86,94;94,17;87,59;90,61;89,40;66,49;85,63
roberta-base;SUM_LYR-7;torch.Size([768]);1,00;12,00;0,00;83,05;84,98;93,25;87,48;90,12;92,00;66,49;85,34
roberta-base;MAX_LYR-7;torch.Size([768]);1,00;12,00;0,00;79,49;73,64;91,90;86,54;87,26;85,60;65,51;81,42
roberta-base;AVG-NS_LYR-7;torch.Size([768]);1,00;12,00;0,00;84,27;87,58;93,98;87,67;90,66;91,00;66,49;85,95
