,Modelo,Pooling,out_emb_size,epochs,qtd_layers,nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
151,bert-base,DY5_SUMALL,torch.Size([3840]),1,12,0,79.28,82.51,94.43,87.27,82.98,43.03,91.6,67.83,78.61625000000001,83.70000000000002
152,bert-base,DY5-NS_SUMALL,torch.Size([3840]),1,12,0,78.05,82.81,94.21,68.77,50.08,40.72,91.2,63.77,71.20125,75.55571428571429
153,bert-base,CLS_AVGALL,torch.Size([768]),1,12,0,80.01,73.09,93.92,87.37,85.72,43.53,75.0,67.83,75.80875,80.42
154,bert-base,AVG_AVGALL,torch.Size([768]),1,12,0,79.68,83.31,94.04,89.07,83.86,46.7,89.0,69.39,79.38125000000001,84.05
155,bert-base,SUM_AVGALL,torch.Size([768]),1,12,0,79.07,82.12,93.8,88.32,85.67,43.94,89.4,66.14,78.5575,83.50285714285714
156,bert-base,MAX_AVGALL,torch.Size([768]),1,12,0,75.79,71.9,92.1,87.88,80.4,41.45,81.8,69.57,75.11124999999998,79.91999999999999
157,bert-base,AVG-NS_AVGALL,torch.Size([768]),1,12,0,79.65,83.02,93.94,89.27,83.8,47.01,89.4,69.28,79.42125,84.05142857142857
158,bert-base,SUM-NS_AVGALL,torch.Size([768]),1,12,0,78.78,81.06,93.14,88.41,85.28,44.12,89.8,66.26,78.35624999999999,83.24714285714285
159,bert-base,MAX-NS_AVGALL,torch.Size([768]),1,12,0,75.19,72.66,92.05,88.29,81.33,42.13,84.2,70.03,75.735,80.53571428571429
160,bert-base,CLS+AVG_AVGALL,torch.Size([1536]),1,12,0,80.59,82.49,94.59,89.4,86.27,47.56,89.8,74.09,80.59875,85.31857142857142
161,bert-base,CLS+SUM_AVGALL,torch.Size([1536]),1,12,0,78.27,82.52,93.54,88.92,85.56,44.21,92.2,65.45,78.83375000000001,83.78
162,bert-base,CLS+MAX_AVGALL,torch.Size([1536]),1,12,0,80.22,81.06,93.65,88.73,86.11,45.11,87.8,72.81,79.43625,84.34000000000002
163,bert-base,CLS+AVG-NS_AVGALL,torch.Size([1536]),1,12,0,80.54,82.6,94.8,89.7,86.22,47.33,89.6,74.61,80.675,85.43857142857144
164,bert-base,CLS+SUM-NS_AVGALL,torch.Size([1536]),1,12,0,78.64,82.01,93.54,89.01,85.39,46.52,92.2,65.91,79.15249999999999,83.8142857142857
