,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
35,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-4,0,1,22,74.02,78.01,91.39,68.77,77.18,40.05,84.43,70.39,73.03,77.74142857142859
36,answerdotai/ModernBERT-base,_cls-5,0,1,22,66.25,66.64,86.48,76.22,73.74,35.97,64.45,67.1,67.10625,71.55428571428571
37,answerdotai/ModernBERT-base,_mean-5,0,1,22,73.96,71.26,89.99,84.47,79.36,40.69,75.5,67.54,72.84625,77.43999999999998
38,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-5,0,1,22,74.33,73.18,90.16,85.54,79.47,41.42,78.1,67.54,73.71749999999999,78.33142857142856
39,answerdotai/ModernBERT-base,_concat_cls_with_mean-5,0,1,22,73.66,76.14,91.42,83.05,79.24,40.87,78.63,65.82,73.60374999999999,78.28
40,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-5,0,1,22,73.68,75.75,91.4,85.42,79.36,40.33,79.88,71.03,74.60624999999999,79.50285714285714
41,answerdotai/ModernBERT-base,_concat_mean_3_tokens-5,0,1,22,74.66,78.67,91.42,85.22,77.87,43.78,83.69,68.18,75.43625,79.95857142857143
42,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-5,0,1,22,74.68,79.08,91.41,85.7,76.83,41.96,83.44,68.57,75.20874999999998,79.95857142857143
43,answerdotai/ModernBERT-base,_concat_mean_5_tokens-5,0,1,22,74.25,78.3,91.54,85.1,78.21,39.87,84.78,69.6,75.20625000000001,80.25428571428573
44,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-5,0,1,22,74.17,78.17,91.41,68.77,77.75,40.15,84.35,70.83,73.2,77.92142857142858
45,answerdotai/ModernBERT-base,_cls-6,0,1,22,67.14,66.79,86.63,76.17,73.28,37.06,65.66,66.61,67.4175,71.75428571428571
46,answerdotai/ModernBERT-base,_mean-6,0,1,22,74.69,73.55,89.96,84.56,79.7,41.14,76.43,67.54,73.44624999999999,78.06142857142856
47,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-6,0,1,22,75.16,74.11,90.29,85.63,80.05,41.96,79.09,67.54,74.22874999999999,78.83857142857143
48,answerdotai/ModernBERT-base,_concat_cls_with_mean-6,0,1,22,73.95,76.91,91.47,83.61,79.59,41.33,79.38,66.27,74.06375,78.74
49,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-6,0,1,22,74.62,76.75,91.52,85.54,79.36,40.87,79.42,65.8,74.235,79.00142857142858
50,answerdotai/ModernBERT-base,_concat_mean_3_tokens-6,0,1,22,75.06,79.12,91.63,85.17,77.75,43.78,84.12,68.11,75.5925,80.13714285714286
51,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-6,0,1,22,75.14,79.11,91.61,85.55,77.06,42.51,83.95,67.93,75.35750000000002,80.05
52,answerdotai/ModernBERT-base,_concat_mean_5_tokens-6,0,1,22,74.81,78.58,91.71,85.01,77.06,41.69,85.12,69.77,75.46875,80.2942857142857
53,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-6,0,1,22,74.86,78.68,91.46,68.77,77.75,40.42,84.52,70.04,73.3125,78.01142857142857
54,answerdotai/ModernBERT-base,_cls-7,0,1,22,68.07,67.62,88.45,75.29,74.66,36.51,65.37,66.02,67.74875,72.21142857142857
55,answerdotai/ModernBERT-base,_mean-7,0,1,22,74.81,72.65,90.11,83.93,79.82,39.33,78.58,67.54,73.34625,78.20571428571428
56,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-7,0,1,22,75.4,74.42,90.14,85.35,80.28,42.96,80.01,67.54,74.51249999999999,79.01999999999998
57,answerdotai/ModernBERT-base,_concat_cls_with_mean-7,0,1,22,74.24,77.05,91.53,84.05,79.59,41.87,79.64,64.84,74.10125000000001,78.7057142857143
58,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-7,0,1,22,74.64,77.37,91.47,85.02,80.28,41.33,80.45,69.95,75.06375,79.88285714285713
59,answerdotai/ModernBERT-base,_concat_mean_3_tokens-7,0,1,22,75.54,79.19,91.57,85.1,78.67,44.69,84.45,67.86,75.88375,80.34
60,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-7,0,1,22,75.57,79.29,91.44,85.48,76.38,44.05,84.54,68.18,75.61625000000001,80.1257142857143
61,answerdotai/ModernBERT-base,_concat_mean_5_tokens-7,0,1,22,75.12,78.17,91.81,84.98,77.87,41.96,85.49,69.58,75.6225,80.43142857142858
62,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-7,0,1,22,74.97,78.05,91.59,68.77,78.21,40.78,85.12,69.63,73.39,78.04857142857142
63,answerdotai/ModernBERT-base,_cls-8,0,1,22,68.36,68.15,88.03,75.02,73.28,36.6,66.71,67.17,67.915,72.38857142857144
64,answerdotai/ModernBERT-base,_mean-8,0,1,22,75.39,74.24,90.52,84.32,80.73,43.51,79.51,67.54,74.47,78.89285714285714
65,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-8,0,1,22,75.86,75.26,90.72,85.65,80.39,43.51,81.33,66.93,74.95625000000001,79.44857142857143
66,answerdotai/ModernBERT-base,_concat_cls_with_mean-8,0,1,22,74.97,77.17,91.33,84.16,79.93,41.69,80.43,67.2,74.61000000000001,79.31285714285715
67,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-8,0,1,22,75.26,76.7,91.32,85.26,79.93,42.14,81.25,66.76,74.8275,79.49714285714286
68,answerdotai/ModernBERT-base,_concat_mean_3_tokens-8,0,1,22,75.98,79.7,91.7,85.0,80.28,43.32,85.11,68.25,76.16749999999999,80.86
69,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-8,0,1,22,75.93,79.38,91.7,85.35,79.01,43.23,84.7,68.67,75.99625,80.67714285714285
70,answerdotai/ModernBERT-base,_concat_mean_5_tokens-8,0,1,22,75.3,78.61,91.82,84.8,80.5,41.14,85.66,69.06,75.86124999999998,80.82142857142857
71,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-8,0,1,22,75.18,78.24,91.71,68.77,78.9,41.6,85.16,69.65,73.65124999999999,78.22999999999999
72,answerdotai/ModernBERT-base,_cls-9,0,1,22,69.29,67.42,88.09,76.31,75.92,37.78,65.83,67.42,68.50750000000001,72.89714285714287
73,answerdotai/ModernBERT-base,_mean-9,0,1,22,76.02,75.89,90.65,84.78,81.31,44.23,80.28,67.54,75.0875,79.49571428571429
74,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-9,0,1,22,76.27,77.95,90.91,85.71,80.96,41.87,81.36,64.92,74.99374999999999,79.72571428571428
